,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
37,0.0,0.0,2620.0,0.0,0.0,1936.0
38,651.0,651.0,651.0,500.0,500.0,500.0
39,1509.0,378.0,1132.0,560.0,140.0,420.0
40,3080.0,0.0,440.0,2555.0,0.0,365.0
41,7576.0,0.0,1196.0,7233.0,0.0,1142.0
42,12889.0,0.0,2802.0,10386.0,0.0,2258.0
43,12010.0,0.0,4461.0,9899.0,0.0,3677.0
44,15052.0,224.0,2890.0,14590.0,218.0,2801.0
45,10196.0,0.0,3492.0,11612.0,0.0,3977.0
46,3237.0,0.0,446.0,3611.0,0.0,498.0
47,10630.0,154.0,2619.0,11296.0,164.0,2783.0
48,3437.0,172.0,1375.0,2625.0,131.0,1050.0
49,5266.0,0.0,3512.0,4825.0,0.0,3216.0
50,2380.0,217.0,2163.0,2060.0,187.0,1872.0
51,1177.0,0.0,1513.0,1045.0,0.0,1343.0
52,806.0,0.0,0.0,658.0,0.0,0.0
53,0.0,0.0,1321.0,0.0,0.0,1027.0
54,0.0,0.0,256.0,0.0,0.0,192.0
55,270.0,0.0,1625.0,202.0,0.0,1213.0
56,506.0,0.0,0.0,385.0,0.0,0.0
57,2789.0,0.0,0.0,2144.0,0.0,0.0
58,1676.0,0.0,0.0,1512.0,0.0,0.0
